"Face","Mean_Theta_Drug","Mean_Theta_NoDrug"
"V173",-2.19302564960887,-0.298466371375183
"V174",-2.25718247464964,-0.293800679584294
"V175",-2.18351144834421,-0.328653407524344
"V176",-2.18205748891247,-0.338287143181678
"V177",-1.93446469149021,-0.333632459239018
"V178",-2.03942522446327,-0.331513058922228
"V179",-2.00500045794783,-0.316415647766622
"V180",-1.96487082259066,-0.281742712107373
"V181",-2.13793317107185,-0.310549238946576
"V182",-2.11251330609626,-0.336403045145747
"V183",-2.10706873498703,-0.325773437230582
"V184",-2.16722042388929,-0.32880527096776
"V185",-1.95012049067773,-0.25934990526471
"V186",-2.06306941246812,-0.309626503361002
"V187",-2.11775762217269,-0.292303515170502
"V188",-2.11008357010948,-0.3054016431693
"V189",-2.08120583288533,-0.200648849553154
"V190",-2.05840238388545,-0.260353992962393
"V191",-2.02168404844398,-0.243449844187867
"V192",-2.12648921879815,-0.16851508436709
"V193",-1.68103558544446,-1.39110376220798
"V194",-1.73769548971262,-1.19440647343289
"V195",-1.71285951881223,-1.40021413122393
"V196",-1.61424808389258,-1.49889455981731
"V197",-1.76093154541547,-0.929537189743382
"V198",-1.83854390882501,-0.645884197245403
"V199",-1.73959482937279,-0.813075145476052
"V200",-1.64049683296631,-0.924029135370402
"V201",-1.61627593073226,-1.39603908587327
"V202",-1.68723991929197,-1.15262807311911
"V203",-1.62327179024498,-1.20766130719909
"V204",-1.62097760559741,-1.14710036182555
"V205",-1.5332266819532,-1.49316231640292
"V206",-1.54164058091393,-1.24001331138305
"V207",-1.52699506697614,-1.42638539263304
"V208",-1.44060577435178,-1.5404161269251
"V209",-1.92307978963399,-0.362927903153755
"V210",-1.97951074637563,-0.194612761631618
"V211",-1.92324973771745,-0.296073113697773
"V212",-1.75956665269502,-0.276365729747381
"V213",-2.00065907613591,-0.104603982441968
"V214",-2.09258811187242,-0.117898190290732
"V215",-2.27439484430589,-0.0797964640437405
"V216",-2.20224421040493,-0.00898624723120358
"V217",-1.76993334480839,-0.198350739422641
"V218",-2.02818760258615,-0.14330684050847
"V219",-1.90735463677232,-0.0518332281203276
"V220",-2.18341061304242,-0.00465114458152764
"V221",-1.59111447603139,-0.115204671100441
"V222",-1.78270878842169,0.0747058258154923
"V223",-1.37707823270288,0.0225049039673312
"V224",-0.643964360931326,0.0367241184634258
"V225",-1.38355436789843,-1.46807372800085
"V226",-1.47255766361467,-1.08742721967112
"V227",-1.39059422959187,-1.30260661454002
"V228",-1.26896765245985,-1.14708410458141
"V229",-1.58166251162773,-0.795522096685496
"V230",-1.76357886481858,-0.574312547113799
"V231",-1.64297987384241,-0.694085993270943
"V232",-1.62705378637378,-0.558899101886183
"V233",-1.27226344295624,-0.812663095934251
"V234",-1.48472811299898,-0.912474451388208
"V235",-1.38716483261006,-0.755190649802076
"V236",-1.48893361134452,-0.57735198930286
"V237",-1.09950191261962,-0.598090298490159
"V238",-1.41181938809764,-0.380584429300962
"V239",-1.17226805646386,-0.344555198537608
"V240",-0.849217167886895,-0.130256745085
"V241",-1.33470160117104,-1.61332772919555
"V242",-1.16772593932048,-1.32773262592432
"V243",-1.21907504611839,-1.57404697728203
"V244",-1.17845610767663,-1.77623846176152
"V245",-0.989598335426555,-0.655944809511347
"V246",-0.572124567834771,-0.0693049044952893
"V247",-0.673303420787284,-0.396987822096723
"V248",-0.541640093892556,-0.385988795066815
"V249",-1.0250298396069,-1.84612753849904
"V250",-0.984600494964194,-1.18393638904717
"V251",-0.965269241303305,-1.49750897725286
"V252",-0.691654831207482,-1.47459956038979
"V253",-0.994825525915504,-1.96714876420717
"V254",-0.62077816913236,-1.95738748586224
"V255",-0.772702355600789,-2.31631955392815
"V256",-0.733100253289872,-2.56595844677183
"V257",2.66423905989567,-2.74474061152561
"V258",2.21853055397321,-2.31992902727213
"V259",2.69397374981118,-2.36899110229733
"V260",-2.98522399769783,-1.39745304432758
"V261",2.04445483280015,-1.91465460686107
"V262",1.92848791188952,-1.32547476071617
"V263",2.13319713259805,-1.79334979766227
"V264",2.57141110137023,-1.28680618803046
"V265",-3.09677057458313,-1.45222512151316
"V266",2.32578515663195,-2.21879596386736
"V267",2.83660879947463,-1.37215670864051
"V268",2.80524356065525,-1.28394034394597
"V269",-2.77216039962726,-1.03445655539152
"V270",-3.13057053445852,-1.08519232003004
"V271",-2.83662089754689,-1.06194760213813
"V272",-2.69490222358455,-0.738032241829848
"V273",1.92074150723849,-1.20633388820596
"V274",1.89170393354983,-0.981366941759677
"V275",2.06205397166716,-1.2535409931817
"V276",2.42775657882848,-1.21568532943607
"V277",1.81905561901649,-0.783073463945907
"V278",1.65768646802451,-0.785390989463201
"V279",1.9564510653661,-0.791765832646789
"V280",2.27240432201752,-0.974952764236266
"V281",2.45739424122931,-1.18298990444336
"V282",2.00570616556695,-0.888466901670198
"V283",2.4350613800458,-1.08061123140745
"V284",2.5243059573548,-1.10449169647424
"V285",2.75236874806734,-1.17398217026263
"V286",2.7753803174329,-1.15841614482654
"V287",2.76731827076415,-1.23941439873868
"V288",2.88225035331303,-1.20302807323934
"V289",-2.81914456851376,-0.826047740522424
"V290",3.06885227271664,-1.12583301403435
"V291",-3.01584434253053,-0.923805292495794
"V292",-3.0439234059103,-1.01625204364121
"V293",2.56788607974387,-1.28100879534889
"V294",2.02086893236239,-1.34367369282949
"V295",2.44024328360272,-1.25906412217799
"V296",2.46610002374124,-1.35941359489971
"V297",3.06635839410764,-1.06664092032594
"V298",2.91854868834386,-1.12328042952917
"V299",2.79881177007589,-1.18921623227841
"V300",2.72482031334326,-1.1270972476912
"V301",3.03272291293622,-1.16407007544818
"V302",2.74144468156602,-1.24547992931421
"V303",2.885523663498,-1.15928311223195
"V304",2.85359715263204,-1.24973357389193
"V305",-2.71294973999448,-0.716610934508579
"V306",-2.87373816724267,-0.892554044097861
"V307",-2.74318292673234,-0.807403729016495
"V308",-2.62032659422636,-0.713833829451769
"V309",-3.07223887763948,-1.03892903119989
"V310",3.02835444991591,-1.15776660833155
"V311",-3.09363091379463,-1.09487675135595
"V312",-2.97761122091168,-0.992355145811897
"V313",-2.69366675347922,-0.776094684346298
"V314",-2.9137332132081,-0.967798463965834
"V315",-2.83497792886262,-0.861972149231506
"V316",-2.84055794663828,-0.882877452980953
"V317",-2.58082237618415,-0.680435627590157
"V318",-2.78540635817108,-0.795839554622034
"V319",-2.66922325739211,-0.725460201442956
"V320",-2.65287586673876,-0.684153868890504
"V321",1.62077246160133,-0.63587011983553
"V322",1.49489203189709,-0.428021114210699
"V323",1.95373520175969,-0.537678819192719
"V324",2.00170247191121,-0.657841465854001
"V325",1.1893960384013,-0.273951191946328
"V326",1.04401562814293,-0.0908851546526231
"V327",1.07251546314996,-0.132143207800597
"V328",0.949928018669358,-0.287875424768344
"V329",1.91306666789752,-0.534571933617953
"V330",1.41628216071534,-0.291922923109742
"V331",1.22784554478227,-0.455227352071434
"V332",1.11676174008646,-0.323376072696362
"V333",2.12612732924311,-0.622945656906237
"V334",0.581199262380197,-0.48270089122848
"V335",1.80176862149167,-0.510472203944665
"V336",2.89547294433434,-0.657181043442471
"V337",1.0610537931814,0.0260347110758942
"V338",1.14049254592352,0.123578061365041
"V339",1.14966073489136,0.118937917744007
"V340",0.955583975602774,-0.0212523565542405
"V341",1.07939869099277,0.233564477453225
"V342",0.842766626046221,0.3524742076133
"V343",0.904337855229244,0.326629249436019
"V344",0.723154138916072,0.223581698394166
"V345",0.861799840127505,0.0747545584248992
"V346",1.09286667795998,0.213470156278822
"V347",0.776844966041801,0.088334408583742
"V348",0.752245996566646,0.191615637300669
"V349",0.706451223649469,-0.0518655090674534
"V350",0.705664550561988,0.0908436887978002
"V351",0.573429134406664,0.0574404905054555
"V352",0.440972216571513,-0.109003635406724
"V353",-1.74721814075746,-0.544868766708443
"V354",0.737040220525092,-0.373887790536484
"V355",-0.358041841181765,-0.534885218283352
"V356",-0.788772695976989,-0.426200415842068
"V357",0.965123756546639,-0.193125771094274
"V358",1.10121318219848,-0.00246054556831149
"V359",0.98964735982614,-0.151169907021849
"V360",0.963125095428935,-0.0475684629577154
"V361",-0.248094489294496,-0.406860802483578
"V362",0.691876603114014,-0.341803944383261
"V363",0.52951094815279,-0.226260952242724
"V364",0.691215333293898,-0.164332021269573
"V365",-0.100702449774807,-0.312452505622287
"V366",0.447868396271622,-0.0876561734635911
"V367",0.414798608812458,-0.260888443116438
"V368",0.382256260547142,-0.157231107503701
"V369",-2.12580975087514,-0.721600572169759
"V370",-1.8805472714244,-0.590910475019578
"V371",-2.06780596078639,-0.600175861362419
"V372",-2.34898157838326,-0.745495710445415
"V373",-1.73277471760598,-0.474305640646152
"V374",-0.158654080461955,-0.289470047677187
"V375",-1.16605556297603,-0.345691321784087
"V376",-2.12166293262551,-0.512175968700509
"V377",-1.74724186121862,-0.574913867066462
"V378",-1.44159653063311,-0.47893033450142
"V379",-2.22532099253274,-0.615073066731202
"V380",-1.70940034036788,-0.51254083777867
"V381",-2.10713515862137,-0.74833103764376
"V382",-2.11879095318213,-0.703794009748141
"V383",-1.71998697997202,-0.673869625280572
"V384",-1.9290712807004,-0.862947747510869
"V385",-2.72558793876847,-0.717606847088074
"V386",-2.85951823298879,-0.830402447862008
"V387",-2.81843833430239,-0.807311732644086
"V388",-2.72912373774489,-0.791802564594046
"V389",-3.00924937076847,-0.973404867358695
"V390",3.03531876899859,-1.16289876789715
"V391",3.13302188036841,-1.0595722557821
"V392",-3.04964126939396,-1.02717772164108
"V393",-2.85151360809596,-0.888800332111893
"V394",-2.9473327362539,-0.921699866840008
"V395",-2.92565382936232,-0.914732588140539
"V396",-3.00790022432247,-0.978276262520745
"V397",-2.68366635935906,-0.853537473092238
"V398",-2.86852752152832,-0.960080763424053
"V399",-2.76596997714938,-0.939810722816238
"V400",-2.58701109716252,-0.896095019113463
"V401",3.04942633673943,-1.17571818920962
"V402",2.82842813010623,-1.10450561998994
"V403",3.0038537402517,-1.15010647069585
"V404",2.98834697765724,-1.07449658950488
"V405",2.39741835401615,-0.918965643930553
"V406",1.98501530436039,-0.727862173904941
"V407",2.15195367224489,-0.809701842140754
"V408",2.351095192556,-0.74734930899356
"V409",2.88284476482413,-1.01056017802429
"V410",2.69612275355152,-0.981441138400278
"V411",2.74148337655989,-0.865678223160465
"V412",2.49036462986642,-0.774370961901201
"V413",2.83607299401594,-0.893900597817989
"V414",2.63253318112586,-0.702079805186818
"V415",2.64006386194817,-0.804082572729829
"V416",2.93553547344197,-0.699377332758732
"V417",-2.69720445076025,-0.9330989887283
"V418",-2.89985641009223,-1.00314513176686
"V419",-2.83644310246405,-0.96252641243635
"V420",-2.82885475019581,-0.975983082801061
"V421",-3.13371727201272,-1.09316279992566
"V422",2.9530462143973,-1.19027319005028
"V423",3.00211996321925,-1.15599882726533
"V424",2.96641621466854,-1.15501090760955
"V425",-3.02514181068092,-1.0017309726505
"V426",-3.08476765474178,-1.03300173202792
"V427",3.12543154044939,-1.06998844095934
"V428",3.09745447230975,-1.0667541620911
"V429",-2.83700912863711,-0.957622798279276
"V430",3.03732270759437,-1.02878630128868
"V431",-2.9898651457556,-0.907594473054478
"V432",-2.84789546560761,-0.816948301418217
"V433",-2.41962873786822,-0.869274465776134
"V434",-2.44701500631753,-0.898318813254058
"V435",-2.42221405449743,-0.913424351426855
"V436",-1.93144158147949,-0.873716996489073
"V437",-2.56947450648292,-0.875406695167962
"V438",-2.57139310940265,-0.73214341333008
"V439",-2.54930101410295,-0.858414812311514
"V440",-2.16833358393295,-0.779502039623327
"V441",-2.11322845689837,-0.914707808150163
"V442",-2.38291044042024,-0.92172946782002
"V443",-1.95465727951474,-0.862925904486124
"V444",-2.17619960089246,-0.87033406444637
"V445",-1.7495735214561,-0.85537052860859
"V446",-1.75617622934124,-0.738807694008314
"V447",-1.92061162238146,-0.875422849820114
"V448",-1.75419344401727,-0.826457365679519
"V449",-2.66297033875355,-0.686051270664114
"V450",-2.63536998347248,-0.775289773073395
"V451",-2.53405969611855,-0.701039344353785
"V452",-2.48278180163925,-0.675635175477839
"V453",-2.62522338621969,-0.845278230339868
"V454",-2.52919218386802,-0.869557678147676
"V455",-2.39986110861421,-0.82770894735316
"V456",-2.38626226371287,-0.7993340005486
"V457",-2.3881869289191,-0.689328064993539
"V458",-2.50762340945518,-0.773241992128259
"V459",-2.46850002072862,-0.771465941255313
"V460",-2.25545974575809,-0.753391626499246
"V461",-2.34627185800367,-0.705041458992483
"V462",-2.21987312003589,-0.766450975681717
"V463",-2.15992264331756,-0.703179753175375
"V464",-2.14825242023957,-0.71487875362041
"V465",-2.24532311688842,-0.88010113261097
"V466",-1.89661129501462,-0.919711244192902
"V467",-1.77869739526876,-0.829537389221839
"V468",-1.78941374284145,-0.893497166222903
"V469",-1.89442364767612,-0.923961865206993
"V470",-1.89231433246923,-0.94484981156711
"V471",-1.68690026565887,-0.905288822087042
"V472",-1.73690928348443,-0.981476537809045
"V473",-1.63864639169298,-0.839071306617039
"V474",-1.66466732881246,-0.850723067497074
"V475",-1.76444324040772,-0.916121132463167
"V476",-1.64576394378964,-0.892529837807272
"V477",-1.64145190429667,-0.937676615553041
"V478",-1.70139859606755,-0.967475761228319
"V479",-1.59474213161327,-0.897881316111158
"V480",-1.56355962275244,-0.93115769753716
"V481",-1.93136540348265,-0.712408987805141
"V482",-1.89889932016311,-0.752483207574475
"V483",-1.96974064217145,-0.774881570254279
"V484",-1.65701040894897,-0.780800359141204
"V485",-2.02471393077361,-0.788709606536659
"V486",-2.22684432339336,-0.838717678055389
"V487",-2.15594054100541,-0.839849036935305
"V488",-1.85668678052301,-0.832487882812581
"V489",-1.77745200602594,-0.843211869414877
"V490",-2.04420977510607,-0.805852016133694
"V491",-1.78421128954107,-0.797716457254689
"V492",-1.87167077732549,-0.867315169778434
"V493",-1.58928393041463,-0.812891878369999
"V494",-1.65986582416796,-0.8459584324166
"V495",-1.62046439559123,-0.874210301645411
"V496",-1.49530108964825,-0.865977386669527
"V497",-1.94718597724304,-0.732496321547373
"V498",-1.73000759575349,-0.801393933814869
"V499",-1.66506681021644,-0.729460017267752
"V500",-1.65808908132732,-0.736975921000506
"V501",-1.53272006409906,-0.832305027055542
"V502",-1.4277197087916,-0.876328017634097
"V503",-1.41900039393638,-0.811640292965206
"V504",-1.35355202093188,-0.805910038545992
"V505",-1.48266065549171,-0.721778035498134
"V506",-1.49190060328263,-0.782221464010568
"V507",-1.44300732830569,-0.785305046111021
"V508",-1.38513055445078,-0.748574844018119
"V509",-1.44852145893369,-0.705400257615846
"V510",-1.28911028706957,-0.722324989132453
"V511",-1.35441028383959,-0.688894115986693
"V512",-1.25140557600646,-0.661746803349949
"V513",1.14729796113504,1.50763209709747
"V514",0.53434304586173,0.589055409573607
"V515",1.04240279826699,1.17172558057768
"V516",1.55145730477878,1.77935175155198
"V517",0.401624030004434,0.404013506139684
"V518",0.240222221565099,0.392600274049598
"V519",0.402372132328729,0.538770694070065
"V520",0.650311200347931,0.88710410468479
"V521",1.30544566576696,1.3360850838231
"V522",0.520412571689998,0.656191766371475
"V523",0.912037287486386,1.00466580970879
"V524",0.862978787361282,0.996554308350985
"V525",1.5903960183677,1.6961584128327
"V526",1.08893692000546,1.34300894385827
"V527",1.39504247194337,1.346656598348
"V528",1.62690795589061,1.99330950198293
"V529",0.125508049406708,0.374409936614034
"V530",0.0206873989075167,0.40319675635148
"V531",0.104291181753604,0.481343635402159
"V532",0.289873875869509,0.754787044643645
"V533",0.0764239130273742,0.397706506123249
"V534",0.0833133099470981,0.413066164772448
"V535",0.108750594661467,0.440815310981457
"V536",0.268003829848045,0.688161142623588
"V537",0.314907367638979,0.765588841854276
"V538",0.0506198589185292,0.467148665539844
"V539",0.199621311484499,0.715179715020578
"V540",0.233552637324635,0.737274686580819
"V541",0.495724203109962,1.04230886835541
"V542",0.365185947755994,0.979341107020147
"V543",0.493878947040208,0.992881998574149
"V544",0.675467869876535,1.23081328492148
"V545",1.48122745371968,1.55914865505047
"V546",0.970003040606451,1.22792003512492
"V547",1.18354417101132,1.60995725710026
"V548",1.06321916400089,1.36804874271666
"V549",0.601327577657855,0.914036645103935
"V550",0.252726330411374,0.484361360299012
"V551",0.434519998244425,0.812986336291148
"V552",0.450473510544197,0.830653068168505
"V553",0.909083620431204,1.43825445870232
"V554",0.799312273545494,1.24916567897944
"V555",0.750346223883207,1.18658002147873
"V556",0.600430481637713,1.12712541346799
"V557",0.821743871903406,1.29831843451943
"V558",0.583301794583415,1.07206863363235
"V559",0.735928446794624,1.34543245825362
"V560",0.725066860379106,1.15408467738402
"V561",1.6510135837255,2.25770581722585
"V562",1.29732430887016,1.75432190977996
"V563",1.49540462942658,1.22402152929581
"V564",1.66978643227179,-0.425472391248221
"V565",1.02039718829192,1.47679831258341
"V566",0.939548642690516,1.37386303307528
"V567",0.980250133495615,1.18191500784408
"V568",1.17515633741797,1.39578680440711
"V569",1.43937088256524,-0.101033132010393
"V570",1.05823957340941,1.16691425268517
"V571",1.3814826546729,1.37188117360124
"V572",1.21417825447854,0.724521129261416
"V573",1.71541413208432,-0.45901308375575
"V574",1.43993897304396,0.510784505020364
"V575",1.47432533935311,-0.448003804552043
"V576",1.73391394373852,-0.630811252459249
"V577",0.0850200988330247,0.42207955263279
"V578",0.0702249457663886,0.483197613859822
"V579",0.055230260828218,0.428994165455544
"V580",0.191646965414978,0.691674160344431
"V581",0.168233233953642,0.520466036724497
"V582",0.224624406758516,0.593540839231601
"V583",0.207163365036035,0.479717111083325
"V584",0.293898412503109,0.729103229411906
"V585",0.22758221932487,0.626286476736128
"V586",0.150727009107915,0.461585218712283
"V587",0.226001008191242,0.722365307642858
"V588",0.300735629171288,0.640098515542187
"V589",0.363500826325442,0.89421471106428
"V590",0.406389876402441,0.872031599697248
"V591",0.447671186290208,0.803565576870867
"V592",0.554735503195897,1.07881356617737
"V593",0.263722193076823,0.645909238896673
"V594",0.296563073410205,0.750332672065613
